Name;Details;Conditions;current_price;old_price;Release Date;Camera;Selfie;Screen Size;Resolution;SIM Card;Sensors;Network;Height;Width;Depth;Weight
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Mint;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Mint;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
Reno6;128 GB - 8 GB - Stellar Black;Condition: Good;Rp 1,900,000;Rp 5,199,000;2021;64 MP (wide), 8 MP (ultrawide), 2 MP (macro), 2 MP (depth);44 MP;6.4 inches;1080 x 2400 pixels;Dual SIM (Nano-SIM, dual stand-by);Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;GSM / HSPA / LTE;159.1 mm;73.3 mm;7.8 mm;173 g
